Temperature(C),Turbidity(NTU),Dissolved_Oxygen(mg/L),PH,Ammonia(mg/L),Nitrate(mg/L),Fish_Weight(g),Dia_Cultivo
26.12633547008547,85.0,6.715350427350428,1.42925,0.5,400.0,394.66,135
26.14025446917184,85.0,6.351251227911626,1.42925,1.5935374701459382,382.2600114101305,391.4651039766508,134
25.73107307439105,85.0,5.987152028472824,1.42925,3.327429115743256,385.5014381591563,387.8878110599078,133
25.613716241213467,85.01479837217906,5.623052829034021,1.42925,1.438063973083465,394.45639972551794,384.3449056603773,132
25.333942819148938,85.94298537234043,5.25895362959522,1.4292499999999997,0.7853399290084323,373.9183723525388,380.74079787234047,131
25.35720787818603,94.45895398874544,4.894854430156418,0.7856150148957298,0.3763198063555114,371.0209052838803,377.16333664349554,130
26.20044127630685,100.0,3.2,0.0676843295994568,6.190932175090597,364.6307494051297,373.3539103869654,129
25.833415728627926,100.0,3.199104958929115,0.0757360860967447,4.387964532872863,370.6397873283119,369.98822634621234,128
25.375789141414145,100.0,3.2,0.1041584911616161,0.8706096434722222,375.3169510122075,367.226893939394,127
25.6875,100.0,3.2,0.13096,2.0734133333333333,383.0284740442279,357.8,125
25.875,100.0,3.2,2.73662,4.026386666666666,383.0286731634183,328.75,118
26.002770534550194,65.32855280312907,2.703136897001304,3.3378273598435464,3.165426036505867,314.5205679479768,374.05882659713166,117
26.222501384149,67.00726110949753,4.515450920123617,4.755342616898109,2.7841997713619167,317.82102434659816,366.64239243186177,116
25.44721920521339,65.07317711479918,4.849364544857852,4.461467355778587,3.701706079499253,314.96358765516453,365.0979120879121,115
24.930419989001926,63.65572795811988,4.893917789386857,2.023007797244867,4.170934212652147,313.2961111692659,362.1478416277152,114
25.446417493796528,62.55577919136808,5.114388957816377,2.088480497176435,3.27707804072761,312.2620926180055,357.9718052109181,113
25.399554885226603,61.36016682992211,4.9587922307239545,2.3186088748509506,1.743029145884979,311.7614739081267,355.25415372494115,112
24.95551582893641,58.1221470457213,3.841422104970842,2.798305159404368,1.6756260010473951,311.8496706774095,353.024001267398,111
25.63240760160328,51.56902405889638,4.021100857568979,2.443005296177415,3.191537601298258,307.3025274231942,346.1962279960701,110
25.76196548564447,65.97356249258107,3.635760109957239,3.2164129706742752,3.241890780130065,312.2931777124571,346.7459219692853,109
25.70348251558867,55.981739087830384,3.455883428450645,3.062036108676185,2.145683198478123,310.0867860571736,345.30202071853734,108
25.693029411764705,60.2165319208252,3.526372,2.6755451453058687,2.742588240974187,314.0336349821413,340.6012638474353,107
25.086806805905653,55.21065898451567,3.874994778537991,2.742766142931724,3.1940055079580545,313.4325990714244,338.0512706409615,106
24.77506589618816,55.88154163676996,3.763388550959719,2.6518039019422828,3.158984259493217,314.2937594431444,334.68112383689373,105
24.682837041884817,56.62519451414635,3.404630671902269,2.851282759536708,3.011584212418825,314.9732148405509,331.6060374537085,104
24.61696666112404,58.62268992276421,4.238941469903558,2.554987505160627,3.150742644984831,318.100028827663,328.05780014432986,103
24.87953267113452,59.57771043038032,4.506724988032552,1.9558774761188351,3.050533479399192,314.24781533789564,324.9261505733126,102
24.380774055489965,57.77945975661941,3.50492775974026,1.9907161154039343,2.6930303815442147,315.39389618852766,323.4949245295897,101
23.53783312182741,58.499344319949415,4.835542071125359,1.990115287939502,2.1579543924224347,315.9289941948046,320.79256403736605,100
23.88360689465984,72.80018888731179,4.464397869101246,1.37908705127553,3.468465905267008,341.15144813777505,309.05474970983903,99
24.64250772766676,67.0959868010511,4.391884724693555,1.7152871233223712,2.447906877094076,270.9846289391448,305.1089939924911,98
24.84427824733096,79.4531160810711,4.288814971914927,1.1013894284968238,3.174908662100417,326.7044097006976,288.63505561401246,97
24.69001210965681,71.52710865698799,4.742422893999494,1.9332607950482048,1.4251867107329352,253.49829199865312,282.6728980767186,96
25.28558673469388,66.7279013966276,5.976852645670381,2.2119022400281985,0.8953290296241401,245.4558622633836,274.94838775137026,95
25.58663153920088,59.43457172242222,5.962452344774872,2.9182321819097874,0.1305306975147604,206.54826307840176,271.07275611485653,94
25.26531332872132,72.38400690636698,7.556258847660426,3.2990777483426923,0.0647979972327914,184.1064062183713,263.8682317886083,93
25.34067036335768,58.93939771605847,7.664924959413488,3.100191728352731,0.17161136597241,193.9850778971736,263.02306503345056,92
25.02194852563444,54.48952281207342,6.295031218716426,3.252168145078811,0.3441844035754649,216.96394078130416,256.2926288983048,91
24.504384021271207,63.77599003080783,6.048542874357828,4.105501653620967,0.3078531949016629,262.3613660843983,239.6210113569258,90
24.64332058005137,53.10514025975329,5.212260359578715,4.020253852932388,0.3246531870719178,236.06066178237413,243.36918206395552,89
23.77505939327485,67.34584084455976,5.220862729741019,4.568279795780451,0.5512628223684211,221.65910563721167,193.24039683296783,79
23.322823446688822,67.4111914458042,5.352060105197793,4.997734562981383,0.2913430882127333,250.2794938988494,187.1306129240092,78
23.58827098800685,67.14054640955219,5.200394155720541,5.211055354725352,0.5442105825242719,274.73097485636094,180.46254139560253,77
24.433751027115857,71.66122992484671,4.707562311695426,5.120240384174892,0.4218961133935908,260.5843759529536,175.52579644979457,75
24.84738372093023,79.87461912255438,4.537623216173361,5.863309560992131,0.4296696300211416,301.45037863237326,177.2124531891649,74
24.51304576443284,76.35612973974862,3.9982668080939945,4.68844597813318,0.1757665651290977,235.9521986938497,170.97795475127649,73
24.42746811055009,76.3310484733596,3.10186420409248,5.125665279744467,0.1826936991761892,255.60813421546567,167.64522076401806,72
24.51171321236178,86.85475276694895,2.712556705415367,6.205716871278708,0.111726070314715,270.44541228650866,165.6127364416218,71
25.04694206008584,78.54989097391757,3.0238516630901286,6.655933374463519,0.1274171673819742,265.87812496181164,156.82792763975323,70
23.90078033404209,79.3717066593822,4.781491636528028,7.020375470162749,0.2048007007233273,352.29943196427564,144.57548478040687,65
23.816556490384617,77.0071138697538,4.437441326401963,7.200877734375,0.3001857391826923,356.0678416544217,144.8722158313702,64
24.315078769692423,76.43452280980692,4.304843585896474,7.2081346774193555,0.2982457464366091,354.28487053088264,140.1993301819955,63
23.81163594470046,80.84869431643625,6.387728395260653,7.156813052995392,0.2482443932411674,353.1724717170817,126.6039543597542,61
23.517092541436465,82.27335671753775,6.721703673646712,7.12081805985267,0.2352869447513812,352.3644181020033,121.99529912845304,60
24.076408004844748,81.52002816546839,6.650406991922208,7.132490888570799,0.2765955571460031,346.7735959869744,116.29647999737944,59
24.353696013289035,81.99645331849428,5.532140479385398,7.140212036544851,0.4473106777408638,347.4937162788964,108.23489954702104,58
24.4693767786963,79.46080506054152,5.456595099935526,7.223245722320097,0.5124321368071554,355.2371163172268,93.97002894363736,57
23.99104850630154,78.48257635632841,5.08950416212852,7.211619747938385,0.8582279625019449,347.1467878276182,88.15639855459779,56
23.488214951838,78.77245395512747,4.794558843609234,7.236875670748874,0.900435055395469,338.51785019375,83.43978218698902,55
23.65570701278844,77.90523550658655,5.122322784233356,7.25671235056992,1.571286161384487,330.7928468947161,80.88468058058798,54
24.02462387229215,78.51777984548293,5.308796830475898,7.27403274512452,1.8934642681185705,325.3950035136108,78.59928606721463,53
24.59160403318548,81.1003013881181,4.854785535575116,7.29344999096435,2.6957227550397684,323.6596027818487,81.12870262772056,52
